centroid_accession,superkingdom,kingdom,phylum,class,order,family,genus,species,strain_isolate,gene_product,sequence_length_bp,ncbi_definition_line,cluster_count,cluster_accessions_species,curator_notes
KF527997.1,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Cladosporium sp. CS-P/F06,Not Available,ITS region*,512,"Cladosporium sp. CS-P/F06 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",1,,Isolated from honey bee pollen and bee bread.
KF527998.1,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Cladosporium sp. CS-P/F07,Not Available,ITS region*,524,"Cladosporium sp. CS-P/F07 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",1,,Isolated from honey bee pollen and bee bread.
KJ123911.1,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus flavus,G49,ITS region*,547,"Aspergillus flavus strain G49 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",4,"KJ123912.1: Aspergillus oryzae, KJ123917.1: Aspergillus oryzae, KJ123933.1: Aspergillus flavus",Isolated from honey bee gut.
KJ123930.1,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus fumigatus,N3004,ITS region*,424,"Aspergillus fumigatus strain N3004 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",1,,Isolated from honey bee gut.
KJ123934.1,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus fumigatus,N3017,ITS region*,541,"Aspergillus fumigatus strain N3017 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",13,"KJ123913.1: Aspergillus fumigatus, KJ123915.1: Aspergillus fumigatus, KJ123916.1: Aspergillus fumigatus, KJ123918.1: Aspergillus fumigatus, KJ123920.1: Aspergillus fumigatus, KJ123923.1: Aspergillus fumigatus, KJ123924.1: Aspergillus fumigatus, KJ123925.1: Aspergillus fumigatus, KJ123927.1: Aspergillus fumigatus, KJ123928.1: Aspergillus fumigatus, KJ123935.1: Aspergillus fumigatus, KJ123936.1: Aspergillus fumigatus",Isolated from honey bee gut.
KJ123909.1,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus niger,N3816,cmd/calmodulin,684,"Aspergillus niger isolate N3816 calmodulin (cmd) gene, partial cds",4,"KJ123906.1: Aspergillus niger, KJ123907.1: Aspergillus niger, KJ123908.1: Aspergillus niger",Isolated from honey bee hive.
KJ123914.1,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus nomius,G7,ITS region*,524,"Aspergillus nomius strain G7 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",1,,Isolated from honey bee gut.
KJ123922.1,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus ochraceus,ABB38,ITS region*,510,"Aspergillus ochraceus strain ABB38 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",1,,Isolated from honey bee hive.
KJ123903.1,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus phoenicis,G5,cmd/calmodulin,734,"Aspergillus phoenicis isolate G5 calmodulin (cmd) gene, partial cds",13,"KJ123893.1: Aspergillus phoenicis, KJ123894.1: Aspergillus phoenicis, KJ123895.1: Aspergillus phoenicis, KJ123896.1: Aspergillus phoenicis, KJ123897.1: Aspergillus phoenicis, KJ123898.1: Aspergillus phoenicis, KJ123899.1: Aspergillus phoenicis, KJ123900.1: Aspergillus niger, KJ123902.1: Aspergillus phoenicis, KJ123904.1: Aspergillus phoenicis, KJ123905.1: Aspergillus phoenicis, KJ123910.1: Aspergillus tubingensis",Isolated from honey bee hive.
KJ123929.1,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus sclerotiorum,N3002,ITS region*,303,"Aspergillus sclerotiorum strain N3002 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",1,,Isolated from honey bee gut.
KJ123931.1,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus sclerotiorum,N3010,ITS region*,314,"Aspergillus sclerotiorum strain N3010 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence",1,,Isolated from honey bee gut.
KF527994.1,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus sp. CS-P/F02,Not Available,ITS region*,563,"Aspergillus sp. CS-P/F02 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",1,,Isolated from honey bee pollen and bee bread.
KF527995.1,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus sp. CS-P/F03,Not Available,ITS region*,564,"Aspergillus sp. CS-P/F03 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence",1,,Isolated from honey bee pollen and bee bread.
